Date,Open,High,Low,Close,Volume
2022-01-24,4.28,4.69,4.015,4.56,764600
2022-01-25,4.49,4.81,4.2,4.26,457200
2022-01-26,4.3,4.52,4.08,4.13,378300
2022-01-27,4.18,4.31,3.87,3.89,671500
2022-01-28,3.92,4.01,3.75,4.01,648500
2022-01-31,4.01,4.69,3.94,4.65,657500
2022-02-01,4.68,5.0,4.44,4.9,779900
2022-02-02,4.91,4.915,4.55,4.7,386800
2022-02-03,4.53,4.69,4.29,4.35,311700
2022-02-04,4.36,4.57,4.27,4.5,298700
2022-02-07,4.5,4.71,4.385,4.62,408100
2022-02-08,4.62,4.74,4.5,4.72,226800
2022-02-09,4.78,4.95,4.76,4.87,474700
2022-02-10,4.73,5.188,4.73,4.83,615300
2022-02-11,4.88,4.885,4.37,4.44,307800
2022-02-14,4.42,4.94,4.4,4.66,301100
2022-02-15,4.88,5.03,4.64,4.97,505100
2022-02-16,4.92,5.15,4.64,5.11,365200
2022-02-17,5.02,5.04,4.62,4.62,478200
2022-02-18,4.57,4.6,4.23,4.48,532600
2022-02-22,4.42,4.56,4.31,4.38,373300
2022-02-23,4.42,4.449,3.88,3.97,609800
2022-02-24,3.75,4.52,3.71,4.5,914100
2022-02-25,4.41,4.68,4.315,4.65,622700
2022-02-28,4.59,4.775,4.415,4.73,687900
2022-03-01,4.75,4.77,4.42,4.52,567100
2022-03-02,4.59,4.659,4.37,4.62,387800
2022-03-03,4.64,4.723,4.18,4.26,427300
2022-03-04,4.21,4.29,3.83,4.02,642500
2022-03-07,4.03,4.11,3.695,3.745,666200
2022-03-08,3.78,3.95,3.39,3.52,1405500
2022-03-09,3.68,4.05,3.37,3.91,639500
2022-03-10,3.82,4.13,3.79,4.13,457900
2022-03-11,4.17,4.185,3.74,3.85,517000
2022-03-14,3.93,3.96,3.45,3.48,474700
2022-03-15,3.51,3.625,3.43,3.57,422500
2022-03-16,3.63,4.0,3.61,3.99,491100
2022-03-17,3.98,4.345,3.735,4.32,346600
